player_nationality,player_name,club_name,year,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,Min,Manager_name,nationality,match,count,win_percentage,average_points,practical,practical_periods
Poland,tomasz kuszczak,Manchester United,2007,Goalkeeper,West Brom,£3.87m,in,Summer,3.87,765,Sir Alex Ferguson,Scottland,no,1,71.00%,2.29,0.04,0
Brazil,anderson,Manchester United,2007,Central Midfield,FC Porto,£28.35m,in,Summer,28.35,1484,Sir Alex Ferguson,Scottland,no,1,71.00%,2.29,0.04,0
England,owen hargreaves,Manchester United,2007,Defensive Midfield,Bayern Munich,£22.50m,in,Summer,22.5,1528,Sir Alex Ferguson,Scottland,no,1,71.00%,2.29,0.04,0
Portugal,nani,Manchester United,2007,Left Winger,Sporting CP,£22.95m,in,Summer,22.95,1573,Sir Alex Ferguson,Scottland,no,1,71.00%,2.29,0.04,0
Argentina ,carlos tevez,Manchester United,2007,Second Striker,West Ham,Loan fee:£11.43m,in,Summer,11.43,2676,Sir Alex Ferguson,Scottland,no,1,71.00%,2.29,0.04,0
Sweden,henrik larsson,Manchester United,2006,Centre-Forward,Helsingborg,Loan,in,Winter,0,460,Sir Alex Ferguson,Scottland,no,1,74.00%,2.34,0.04,0
Poland,tomasz kuszczak,Manchester United,2006,Goalkeeper,West Brom,Loan,in,Summer,0,540,Sir Alex Ferguson,Scottland,no,1,74.00%,2.34,0.04,0
England,michael carrick,Manchester United,2006,Defensive Midfield,Spurs,£24.48m,in,Summer,24.48,2511,Sir Alex Ferguson,Scottland,no,1,74.00%,2.34,0.04,0
France,patrice evra,Manchester United,2005,Left-Back,Monaco,£7.20m,in,Winter,7.2,571,Sir Alex Ferguson,Scottland,no,1,66.00%,2.18,0.04,0
Serbia,nemanja vidic,Manchester United,2005,Centre-Back,Spartak Moscow,£9.45m,in,Winter,9.45,859,Sir Alex Ferguson,Scottland,no,1,66.00%,2.18,0.04,0
Netherlands,edwin van der sar,Manchester United,2005,Goalkeeper,Fulham,£3.60m,in,Summer,3.6,3375,Sir Alex Ferguson,Scottland,no,1,66.00%,2.18,0.04,0
Ireland,liam miller,Manchester United,2004,Central Midfield,Celtic,Free transfer,in,Summer,0,265,Sir Alex Ferguson,Scottland,no,1,58.00%,2.03,0.04,0
England,alan smith,Manchester United,2004,Central Midfield,Leeds,£8.10m,in,Summer,8.1,2038,Sir Alex Ferguson,Scottland,no,1,58.00%,2.03,0.04,0
England,wayne rooney,Manchester United,2004,Attacking Midfield,Everton,£33.30m,in,Summer,33.3,2185,Sir Alex Ferguson,Scottland,no,1,58.00%,2.03,0.04,0
Argentina ,gabriel heinze,Manchester United,2004,Centre-Back,Paris SG,£9.00m,in,Summer,9,2287,Sir Alex Ferguson,Scottland,no,1,58.00%,2.03,0.04,0
France,david bellion,Manchester United,2003,Centre-Forward,Sunderland,£2.70m,in,Summer,2.7,457,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
Brazil,jose kleberson,Manchester United,2003,Central Midfield,Atlético-PR,£7.74m,in,Summer,7.74,791,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
France,louis saha,Manchester United,2003,Centre-Forward,Fulham,£15.75m,in,Winter,15.75,862,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
Cameroon,eric djemba djemba,Manchester United,2003,Defensive Midfield,FC Nantes,£4.05m,in,Summer,4.05,886,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
Portugal,cristiano ronaldo,Manchester United,2003,Left Winger,Sporting CP,£17.10m,in,Summer,17.1,1548,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
United States,tim howard,Manchester United,2003,Goalkeeper,MetroStars,£2.88m,in,Summer,2.88,2790,Sir Alex Ferguson,Scottland,no,1,61.00%,1.97,0.04,0
Spain,ricardo,Manchester United,2002,Goalkeeper,Real Valladolid,£2.00m,in,Summer,2,45,Sir Alex Ferguson,Scottland,no,1,66.00%,2.18,0.04,0
England,rio ferdinand,Manchester United,2002,Centre-Back,Leeds,£41.40m,in,Summer,41.4,2437,Sir Alex Ferguson,Scottland,no,1,66.00%,2.18,0.04,0
Uruguay,diego forlan,Manchester United,2001,Centre-Forward,Independiente,£9.90m,in,Winter,9.9,52,Sir Alex Ferguson,Scottland,no,1,63.00%,2.03,0.04,0
Northern Ireland,roy carroll,Manchester United,2001,Goalkeeper,Wigan,£2.70m,in,Summer,2.7,548,Sir Alex Ferguson,Scottland,no,1,63.00%,2.03,0.04,0
Argentina ,juan sebastian veron,Manchester United,2001,Central Midfield,Lazio,£38.34m,in,Summer,38.34,2037,Sir Alex Ferguson,Scottland,no,1,63.00%,2.03,0.04,0
France,laurent blanc,Manchester United,2001,Sweeper,Inter,Free transfer,in,Summer,0,2549,Sir Alex Ferguson,Scottland,no,1,63.00%,2.03,0.04,0
Netherlands,ruud van nistelrooy,Manchester United,2001,Centre-Forward,PSV Eindhoven,£25.65m,in,Summer,25.65,2730,Sir Alex Ferguson,Scottland,no,1,63.00%,2.03,0.04,0
France,fabien barthez,Manchester United,2000,Goalkeeper,Monaco,£10.53m,in,Summer,10.53,2675,Sir Alex Ferguson,Scottland,no,1,63.00%,2.11,0.04,0
Scottland,andy goram,Manchester United,2000,Goalkeeper,Motherwell FC,Loan,in,Winter,0,124,Sir Alex Ferguson,Scottland,yes,1,63.00%,2.11,0.04,1
Italy,massimo taibi,Manchester United,1999,Goalkeeper,AC Venezia 1907,Free transfer,in,Summer,0,360,Sir Alex Ferguson,Scottland,no,1,74.00%,2.39,0.04,0
South Africa,quinton fortune,Manchester United,1999,Central Midfield,Atlético Madrid,£2.03m,in,Winter,2.03,370,Sir Alex Ferguson,Scottland,no,1,74.00%,2.39,0.04,0
Austria,mark bosnich,Manchester United,1999,Goalkeeper,Aston Villa,Free transfer,in,Summer,0,1875,Sir Alex Ferguson,Scottland,no,1,74.00%,2.39,0.04,0
France,mikael silvestre,Manchester United,1999,Centre-Back,Inter,£5.13m,in,Summer,5.13,2721,Sir Alex Ferguson,Scottland,no,1,74.00%,2.39,0.04,0
Sweden,jesper blomqvist,Manchester United,1998,Left Midfield,AC Parma,£6.30m,in,Summer,6.3,1635,Sir Alex Ferguson,Scottland,no,1,58.00%,2.08,0.04,0
Netherlands,jaap stam,Manchester United,1998,Centre-Back,PSV Eindhoven,£15.30m,in,Summer,15.3,2524,Sir Alex Ferguson,Scottland,no,1,58.00%,2.08,0.04,0
Trinidad and Tobago,dwight yorke,Manchester United,1998,Centre-Forward,Aston Villa,£17.33m,in,Summer,17.33,2876,Sir Alex Ferguson,Scottland,no,1,58.00%,2.08,0.04,0
England,ben thornley,Manchester United,1997,Forward,Huddersfield,-,in,Summer,0,98,Sir Alex Ferguson,Scottland,no,1,61.00%,2.03,0.04,0
Norway,henning berg,Manchester United,1997,Right-Back,Blackburn,£6.75m,in,Summer,6.75,2233,Sir Alex Ferguson,Scottland,no,1,61.00%,2.03,0.04,0
England,teddy sheringham,Manchester United,1997,Centre-Forward,Spurs,£4.77m,in,Summer,4.77,2516,Sir Alex Ferguson,Scottland,no,1,61.00%,2.03,0.04,0
